,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
254,Sacramento State,32,7,25,.219,-14.10,-4.06,3,15,5,11,2,13,2119,2257,1280,746,1741,.428,262,798,.328,365,541,.675,302,1070,418,190,97,422,592,2025
255,Sacred Heart,33,15,18,.455,-9.00,-8.41,10,10,8,5,5,11,2502,2481,1325,895,2043,.438,318,910,.349,392,536,.731,389,1223,547,243,98,406,520,2025
256,Saint Francis (PA) NCAA,34,16,18,.471,-12.76,-7.41,8,8,10,4,6,13,2415,2433,1385,902,1952,.462,281,822,.342,330,454,.727,290,1155,484,212,85,440,516,2025
257,Saint Joseph's,35,22,13,.629,7.28,0.85,11,7,13,5,4,6,2627,2402,1410,907,2070,.438,323,963,.335,490,657,.746,372,1299,510,228,197,395,503,2025
258,Saint Louis,34,19,15,.559,3.04,2.04,11,7,14,3,4,9,2527,2423,1370,899,1886,.477,333,945,.352,396,577,.686,258,1198,509,216,105,432,499,2025
259,Saint Mary's (CA) NCAA,35,29,6,.829,17.43,6.46,17,1,16,1,9,1,2551,2138,1410,940,2088,.450,223,698,.319,448,645,.695,489,1390,529,214,140,338,523,2025
260,Saint Peter's,28,12,16,.429,-10.64,-8.45,7,13,6,6,6,10,1848,1842,1130,624,1581,.395,199,604,.329,401,543,.738,377,1043,289,190,101,381,528,2025
261,Sam Houston,32,13,19,.406,-2.86,1.31,6,12,9,4,3,13,2411,2433,1295,827,1855,.446,276,712,.388,481,663,.725,345,1129,412,205,93,405,565,2025
262,Samford,33,22,11,.667,1.13,-3.58,12,6,13,3,9,7,2736,2492,1330,970,2107,.460,356,978,.364,440,609,.722,431,1188,543,326,120,428,647,2025
263,San Diego,33,6,27,.182,-8.37,1.63,2,16,5,13,0,12,2314,2629,1320,820,2016,.407,211,719,.293,463,616,.752,381,1132,376,245,118,440,693,2025
264,San Diego State NCAA,31,21,10,.677,12.77,8.14,14,6,12,3,6,4,2194,2004,1250,789,1784,.442,239,717,.333,375,565,.664,314,1090,404,237,169,340,571,2025
265,San Francisco,35,25,10,.714,10.46,3.87,13,5,17,3,5,5,2660,2420,1405,929,2047,.454,302,891,.339,500,703,.711,363,1246,486,231,117,410,657,2025
